Disease|Genes|Count
C0007137|ENSG00000003249;;ENSG00000100209;;ENSG00000100219;;ENSG00000126856;;ENSG00000140995;;ENSG00000141002;;ENSG00000141013;;ENSG00000159873;;ENSG00000183765;;ENSG00000204991;;ENSG00000258839;;ENSG00000258947|12
C0007193|ENSG00000035403;;ENSG00000046604;;ENSG00000069431;;ENSG00000077522;;ENSG00000080815;;ENSG00000092054;;ENSG00000109846;;ENSG00000112319;;ENSG00000112769;;ENSG00000114854;;ENSG00000118194;;ENSG00000120802;;ENSG00000122367;;ENSG00000129170;;ENSG00000129991;;ENSG00000134571;;ENSG00000138347;;ENSG00000140416;;ENSG00000143801;;ENSG00000148677;;ENSG00000151929;;ENSG00000155657;;ENSG00000157259;;ENSG00000159251;;ENSG00000160789;;ENSG00000170624;;ENSG00000173991;;ENSG00000175084;;ENSG00000183873;;ENSG00000197616;;ENSG00000198523;;ENSG00000198947;;ENSG00000203867|33
C0007570|ENSG00000085377;;ENSG00000090104;;ENSG00000109471;;ENSG00000115386;;ENSG00000115604;;ENSG00000121807;;ENSG00000136827;;ENSG00000138684;;ENSG00000160791;;ENSG00000163131;;ENSG00000163599;;ENSG00000163823;;ENSG00000164136;;ENSG00000168811;;ENSG00000179344;;ENSG00000183625|16
C0007785|ENSG00000080618;;ENSG00000088053;;ENSG00000088926;;ENSG00000101871;;ENSG00000110799;;ENSG00000115232;;ENSG00000115718;;ENSG00000116478;;ENSG00000120948;;ENSG00000122194;;ENSG00000162909;;ENSG00000164733;;ENSG00000168398;;ENSG00000169403;;ENSG00000169836;;ENSG00000180210;;ENSG00000182782;;ENSG00000273079|18
C0007847|ENSG00000102854;;ENSG00000112473;;ENSG00000117525;;ENSG00000141510;;ENSG00000163599;;ENSG00000181847;;ENSG00000185499;;ENSG00000196126;;ENSG00000196735;;ENSG00000197122;;ENSG00000204231;;ENSG00000204248;;ENSG00000204516;;ENSG00000234745|14
C0007873|ENSG00000102854;;ENSG00000112473;;ENSG00000117525;;ENSG00000141510;;ENSG00000163599;;ENSG00000181847;;ENSG00000185499;;ENSG00000196126;;ENSG00000196735;;ENSG00000197122;;ENSG00000204231;;ENSG00000204248;;ENSG00000204516;;ENSG00000234745|14
C0007959|ENSG00000013503;;ENSG00000054523;;ENSG00000065427;;ENSG00000067992;;ENSG00000075785;;ENSG00000079805;;ENSG00000087053;;ENSG00000090054;;ENSG00000090861;;ENSG00000096433;;ENSG00000100241;;ENSG00000100285;;ENSG00000100997;;ENSG00000101384;;ENSG00000102385;;ENSG00000104133;;ENSG00000104369;;ENSG00000104381;;ENSG00000104419;;ENSG00000104728;;ENSG00000104973;;ENSG00000105227;;ENSG00000106105;;ENSG00000106211;;ENSG00000107290;;ENSG00000107862;;ENSG00000108784;;ENSG00000108797;;ENSG00000109099;;ENSG00000109654;;ENSG00000111199;;ENSG00000111775;;ENSG00000112367;;ENSG00000114450;;ENSG00000115204;;ENSG00000116688;;ENSG00000122877;;ENSG00000130816;;ENSG00000132740;;ENSG00000133422;;ENSG00000133812;;ENSG00000134684;;ENSG00000135924;;ENSG00000139132;;ENSG00000140092;;ENSG00000140105;;ENSG00000140199;;ENSG00000141378;;ENSG00000147224;;ENSG00000147588;;ENSG00000147955;;ENSG00000148290;;ENSG00000148356;;ENSG00000151929;;ENSG00000152137;;ENSG00000155980;;ENSG00000156515;;ENSG00000156709;;ENSG00000160209;;ENSG00000160294;;ENSG00000160789;;ENSG00000162377;;ENSG00000162706;;ENSG00000163399;;ENSG00000164209;;ENSG00000165240;;ENSG00000165280;;ENSG00000166224;;ENSG00000166986;;ENSG00000168000;;ENSG00000169247;;ENSG00000169271;;ENSG00000169562;;ENSG00000169567;;ENSG00000170445;;ENSG00000171680;;ENSG00000175203;;ENSG00000181192;;ENSG00000189067;;ENSG00000196549;;ENSG00000197102;;ENSG00000198899;;ENSG00000203485;;ENSG00000204843;;ENSG00000277586;;ENSG00000284194|86
C0008312|ENSG00000031081;;ENSG00000038532;;ENSG00000073605;;ENSG00000081985;;ENSG00000100316;;ENSG00000100321;;ENSG00000106952;;ENSG00000109320;;ENSG00000109323;;ENSG00000110367;;ENSG00000110375;;ENSG00000113845;;ENSG00000115415;;ENSG00000121594;;ENSG00000138378;;ENSG00000141736;;ENSG00000141738;;ENSG00000141741;;ENSG00000142864;;ENSG00000144837;;ENSG00000144843;;ENSG00000145626;;ENSG00000152582;;ENSG00000152611;;ENSG00000160683;;ENSG00000161405;;ENSG00000162594;;ENSG00000163389;;ENSG00000168685;;ENSG00000168811;;ENSG00000176142;;ENSG00000181634;;ENSG00000186075;;ENSG00000186174;;ENSG00000196735;;ENSG00000232629;;ENSG00000237541|37
C0008372|ENSG00000004766;;ENSG00000004864;;ENSG00000005471;;ENSG00000012504;;ENSG00000073734;;ENSG00000081923;;ENSG00000099377;;ENSG00000119139;;ENSG00000122787;;ENSG00000136883;;ENSG00000138623;;ENSG00000145390;;ENSG00000163959;;ENSG00000166140;;ENSG00000167306;;ENSG00000172817;;ENSG00000184056;;ENSG00000242110|18
C0008780|ENSG00000004838;;ENSG00000007174;;ENSG00000039139;;ENSG00000046651;;ENSG00000078900;;ENSG00000086288;;ENSG00000104450;;ENSG00000105877;;ENSG00000111834;;ENSG00000112981;;ENSG00000114841;;ENSG00000117724;;ENSG00000118997;;ENSG00000119661;;ENSG00000122735;;ENSG00000124721;;ENSG00000129654;;ENSG00000130363;;ENSG00000137691;;ENSG00000139537;;ENSG00000141013;;ENSG00000141519;;ENSG00000142609;;ENSG00000149292;;ENSG00000152669;;ENSG00000154099;;ENSG00000156313;;ENSG00000157423;;ENSG00000157856;;ENSG00000159079;;ENSG00000160188;;ENSG00000161328;;ENSG00000163482;;ENSG00000163491;;ENSG00000164818;;ENSG00000165506;;ENSG00000167131;;ENSG00000167646;;ENSG00000171595;;ENSG00000172426;;ENSG00000185658;;ENSG00000187726;;ENSG00000234602;;ENSG00000256061;;ENSG00000270765|45
