Disease|Genes|Count
C0017919|ENSG00000005893;;ENSG00000044446;;ENSG00000067177;;ENSG00000068976;;ENSG00000079739;;ENSG00000100504;;ENSG00000102893;;ENSG00000106617;;ENSG00000108515;;ENSG00000111713;;ENSG00000112425;;ENSG00000114480;;ENSG00000134333;;ENSG00000137700;;ENSG00000149925;;ENSG00000152556;;ENSG00000156873;;ENSG00000162688;;ENSG00000163754;;ENSG00000164708;;ENSG00000171298|21
C0018054|ENSG00000095015;;ENSG00000125398;;ENSG00000132446;;ENSG00000136931;;ENSG00000137090;;ENSG00000139549;;ENSG00000150990;;ENSG00000169297;;ENSG00000169946;;ENSG00000173894;;ENSG00000184895|11
C0018099|ENSG00000073756;;ENSG00000085662;;ENSG00000100191;;ENSG00000103222;;ENSG00000109667;;ENSG00000118777;;ENSG00000125538;;ENSG00000132170;;ENSG00000134339;;ENSG00000147224;;ENSG00000149452;;ENSG00000158125;;ENSG00000160013;;ENSG00000162711;;ENSG00000163464;;ENSG00000163586;;ENSG00000165704;;ENSG00000166402;;ENSG00000173432;;ENSG00000180871;;ENSG00000186951;;ENSG00000197891;;ENSG00000198805|23
C0018553|ENSG00000101310;;ENSG00000117118;;ENSG00000121879;;ENSG00000123124;;ENSG00000142208;;ENSG00000143252;;ENSG00000171862;;ENSG00000204370;;ENSG00000227268;;ENSG00000284792|10
C0019069|ENSG00000003436;;ENSG00000057593;;ENSG00000101670;;ENSG00000101981;;ENSG00000117601;;ENSG00000126218;;ENSG00000129219;;ENSG00000135047;;ENSG00000143278;;ENSG00000163631;;ENSG00000167397;;ENSG00000180210;;ENSG00000185010;;ENSG00000204983|14
C0019360|ENSG00000115415;;ENSG00000118432;;ENSG00000136634;;ENSG00000148606;;ENSG00000167900;;ENSG00000168610;;ENSG00000180772;;ENSG00000186141;;ENSG00000196689;;ENSG00000206503;;ENSG00000234745|11
C0019569|ENSG00000075223;;ENSG00000100146;;ENSG00000117298;;ENSG00000124205;;ENSG00000136160;;ENSG00000153993;;ENSG00000157168;;ENSG00000165731;;ENSG00000168621;;ENSG00000169554;;ENSG00000171119;;ENSG00000185737;;ENSG00000198910;;ENSG00000198954|14
C0019829|ENSG00000107147;;ENSG00000111199;;ENSG00000120457;;ENSG00000120949;;ENSG00000134460;;ENSG00000149554;;ENSG00000162687;;ENSG00000177455;;ENSG00000182578;;ENSG00000198502;;ENSG00000203747;;ENSG00000204287;;ENSG00000204290;;ENSG00000204296|14
C0020179|ENSG00000103351;;ENSG00000112936;;ENSG00000113600;;ENSG00000128271;;ENSG00000132693;;ENSG00000136244;;ENSG00000175899;;ENSG00000176697;;ENSG00000197386;;ENSG00000242028|10
C0020473|ENSG00000015520;;ENSG00000062282;;ENSG00000073756;;ENSG00000079459;;ENSG00000084674;;ENSG00000087237;;ENSG00000091831;;ENSG00000102967;;ENSG00000104549;;ENSG00000105550;;ENSG00000112033;;ENSG00000113161;;ENSG00000117594;;ENSG00000118137;;ENSG00000125255;;ENSG00000126351;;ENSG00000128271;;ENSG00000130203;;ENSG00000131473;;ENSG00000132170;;ENSG00000132855;;ENSG00000138823;;ENSG00000140009;;ENSG00000150907;;ENSG00000151090;;ENSG00000157978;;ENSG00000163485;;ENSG00000169174;;ENSG00000170835;;ENSG00000171105;;ENSG00000175445;;ENSG00000182782;;ENSG00000185000;;ENSG00000186951;;ENSG00000188641;;ENSG00000198848;;ENSG00000234906;;ENSG00000255398|38
C0020476|ENSG00000015520;;ENSG00000062282;;ENSG00000073756;;ENSG00000079459;;ENSG00000084674;;ENSG00000087237;;ENSG00000091831;;ENSG00000102967;;ENSG00000104549;;ENSG00000105550;;ENSG00000112033;;ENSG00000113161;;ENSG00000117594;;ENSG00000118137;;ENSG00000125255;;ENSG00000126351;;ENSG00000128271;;ENSG00000130203;;ENSG00000131473;;ENSG00000132170;;ENSG00000132855;;ENSG00000138823;;ENSG00000140009;;ENSG00000150907;;ENSG00000151090;;ENSG00000157978;;ENSG00000163485;;ENSG00000169174;;ENSG00000170835;;ENSG00000171105;;ENSG00000175445;;ENSG00000182782;;ENSG00000185000;;ENSG00000186951;;ENSG00000188641;;ENSG00000198848;;ENSG00000234906;;ENSG00000255398|38
C0020538|ENSG00000010704;;ENSG00000043591;;ENSG00000070915;;ENSG00000070961;;ENSG00000074803;;ENSG00000075340;;ENSG00000078401;;ENSG00000085563;;ENSG00000087274;;ENSG00000106258;;ENSG00000111319;;ENSG00000113389;;ENSG00000120937;;ENSG00000122585;;ENSG00000123454;;ENSG00000124205;;ENSG00000132170;;ENSG00000132693;;ENSG00000135744;;ENSG00000138193;;ENSG00000141744;;ENSG00000143839;;ENSG00000144891;;ENSG00000148700;;ENSG00000149295;;ENSG00000151577;;ENSG00000151623;;ENSG00000159640;;ENSG00000160882;;ENSG00000163273;;ENSG00000163631;;ENSG00000164128;;ENSG00000164867;;ENSG00000165995;;ENSG00000166828;;ENSG00000168447;;ENSG00000169252;;ENSG00000169344;;ENSG00000175206;;ENSG00000175445;;ENSG00000177000;;ENSG00000179142;;ENSG00000180772;;ENSG00000184730;;ENSG00000184845;;ENSG00000188778;;ENSG00000254647|47
C0020542|ENSG00000001084;;ENSG00000041982;;ENSG00000067900;;ENSG00000100644;;ENSG00000106018;;ENSG00000113721;;ENSG00000114812;;ENSG00000114854;;ENSG00000120937;;ENSG00000125384;;ENSG00000129167;;ENSG00000130234;;ENSG00000132518;;ENSG00000135914;;ENSG00000136160;;ENSG00000151617;;ENSG00000160013;;ENSG00000164867;;ENSG00000169398;;ENSG00000197442|20
C0020676|ENSG00000081019;;ENSG00000111252;;ENSG00000113231;;ENSG00000116793;;ENSG00000126351;;ENSG00000134215;;ENSG00000134242;;ENSG00000136936;;ENSG00000151090;;ENSG00000165409;;ENSG00000178919;;ENSG00000204842|12
C0020678|ENSG00000062038;;ENSG00000080503;;ENSG00000099956;;ENSG00000106344;;ENSG00000108963;;ENSG00000109101;;ENSG00000109917;;ENSG00000111961;;ENSG00000114529;;ENSG00000115758;;ENSG00000115827;;ENSG00000122026;;ENSG00000132768;;ENSG00000133710;;ENSG00000134760;;ENSG00000134762;;ENSG00000135443;;ENSG00000135925;;ENSG00000139648;;ENSG00000139679;;ENSG00000145192;;ENSG00000147256;;ENSG00000149418;;ENSG00000151617;;ENSG00000152661;;ENSG00000153107;;ENSG00000154856;;ENSG00000156531;;ENSG00000160285;;ENSG00000163898;;ENSG00000164087;;ENSG00000168453;;ENSG00000169604;;ENSG00000170484;;ENSG00000175065;;ENSG00000182004;;ENSG00000198758;;ENSG00000203883;;ENSG00000204539;;ENSG00000204897|40
C0021051|ENSG00000105851;;ENSG00000111537;;ENSG00000113580;;ENSG00000113889;;ENSG00000121966;;ENSG00000128274;;ENSG00000131187;;ENSG00000138735;;ENSG00000143799;;ENSG00000149131;;ENSG00000150782;;ENSG00000159128;;ENSG00000160255;;ENSG00000164344;;ENSG00000167751;;ENSG00000168398;;ENSG00000175344;;ENSG00000182326;;ENSG00000186795;;ENSG00000196839|20
C0021400|ENSG00000010610;;ENSG00000090339;;ENSG00000100453;;ENSG00000101017;;ENSG00000102245;;ENSG00000108691;;ENSG00000109471;;ENSG00000110848;;ENSG00000111537;;ENSG00000113520;;ENSG00000121594;;ENSG00000132693;;ENSG00000136244;;ENSG00000136634;;ENSG00000137462;;ENSG00000139193;;ENSG00000160791;;ENSG00000163599;;ENSG00000164136;;ENSG00000185499;;ENSG00000232810|21
C0022104|ENSG00000065989;;ENSG00000066230;;ENSG00000070019;;ENSG00000075073;;ENSG00000082556;;ENSG00000100300;;ENSG00000102539;;ENSG00000112164;;ENSG00000115353;;ENSG00000116329;;ENSG00000118777;;ENSG00000120088;;ENSG00000121853;;ENSG00000122375;;ENSG00000125510;;ENSG00000126010;;ENSG00000135914;;ENSG00000163631;;ENSG00000164270;;ENSG00000166736;;ENSG00000168539;;ENSG00000169836;;ENSG00000175591;;ENSG00000184984;;ENSG00000185652;;ENSG00000186642;;ENSG00000188778|27
C0022578|ENSG00000019991;;ENSG00000075420;;ENSG00000081052;;ENSG00000088387;;ENSG00000088836;;ENSG00000100987;;ENSG00000113083;;ENSG00000115008;;ENSG00000115839;;ENSG00000120708;;ENSG00000130635;;ENSG00000135925;;ENSG00000136689;;ENSG00000148516;;ENSG00000150907;;ENSG00000153113;;ENSG00000169031;;ENSG00000225614|18
C0022596|ENSG00000012174;;ENSG00000096696;;ENSG00000099940;;ENSG00000103591;;ENSG00000109861;;ENSG00000111961;;ENSG00000112378;;ENSG00000119537;;ENSG00000121742;;ENSG00000126233;;ENSG00000128422;;ENSG00000129667;;ENSG00000130529;;ENSG00000132963;;ENSG00000134013;;ENSG00000134760;;ENSG00000135925;;ENSG00000143367;;ENSG00000152661;;ENSG00000153113;;ENSG00000161798;;ENSG00000163104;;ENSG00000165474;;ENSG00000166396;;ENSG00000167723;;ENSG00000167768;;ENSG00000169218;;ENSG00000170465;;ENSG00000170523;;ENSG00000171403;;ENSG00000173801;;ENSG00000184056;;ENSG00000185479;;ENSG00000186832;;ENSG00000186847;;ENSG00000188910;;ENSG00000189433;;ENSG00000197256;;ENSG00000198650;;ENSG00000205420|40
C0022661|ENSG00000001084;;ENSG00000007171;;ENSG00000007908;;ENSG00000066230;;ENSG00000067900;;ENSG00000072315;;ENSG00000088926;;ENSG00000101439;;ENSG00000102468;;ENSG00000105048;;ENSG00000105855;;ENSG00000111012;;ENSG00000111424;;ENSG00000118432;;ENSG00000118523;;ENSG00000120937;;ENSG00000121807;;ENSG00000124882;;ENSG00000131471;;ENSG00000132693;;ENSG00000136244;;ENSG00000140443;;ENSG00000140675;;ENSG00000143226;;ENSG00000151617;;ENSG00000151623;;ENSG00000158125;;ENSG00000159640;;ENSG00000160013;;ENSG00000160791;;ENSG00000163235;;ENSG00000163661;;ENSG00000164761;;ENSG00000168398;;ENSG00000169083;;ENSG00000169340;;ENSG00000169344;;ENSG00000169347;;ENSG00000173511;;ENSG00000181408;;ENSG00000183549;;ENSG00000183747;;ENSG00000184160;;ENSG00000186318;;ENSG00000188130;;ENSG00000196549;;ENSG00000197442;;ENSG00000204305|48
C0022665|ENSG00000037280;;ENSG00000048052;;ENSG00000067225;;ENSG00000068078;;ENSG00000080824;;ENSG00000087245;;ENSG00000089692;;ENSG00000091879;;ENSG00000100385;;ENSG00000100985;;ENSG00000102755;;ENSG00000105976;;ENSG00000106462;;ENSG00000106991;;ENSG00000108799;;ENSG00000109471;;ENSG00000110195;;ENSG00000113721;;ENSG00000115419;;ENSG00000116478;;ENSG00000120217;;ENSG00000121966;;ENSG00000122420;;ENSG00000125726;;ENSG00000126218;;ENSG00000128052;;ENSG00000131203;;ENSG00000134086;;ENSG00000136634;;ENSG00000138160;;ENSG00000139193;;ENSG00000142208;;ENSG00000146648;;ENSG00000154188;;ENSG00000154269;;ENSG00000157404;;ENSG00000159110;;ENSG00000169071;;ENSG00000198900;;ENSG00000213903;;ENSG00000213906;;ENSG00000239732;;ENSG00000262406|43
C0022735|ENSG00000011201;;ENSG00000011275;;ENSG00000032444;;ENSG00000075213;;ENSG00000077782;;ENSG00000101292;;ENSG00000101596;;ENSG00000104093;;ENSG00000104826;;ENSG00000107831;;ENSG00000109163;;ENSG00000109472;;ENSG00000112238;;ENSG00000116014;;ENSG00000120008;;ENSG00000125848;;ENSG00000128610;;ENSG00000131808;;ENSG00000136720;;ENSG00000139318;;ENSG00000140262;;ENSG00000144730;;ENSG00000147437;;ENSG00000158815;;ENSG00000163421;;ENSG00000165802;;ENSG00000166863;;ENSG00000169836;;ENSG00000170498;;ENSG00000171316;;ENSG00000173376;;ENSG00000177551;;ENSG00000187678|33
C0023264|ENSG00000006695;;ENSG00000011295;;ENSG00000014919;;ENSG00000023228;;ENSG00000067704;;ENSG00000073578;;ENSG00000074582;;ENSG00000091140;;ENSG00000100416;;ENSG00000101247;;ENSG00000103356;;ENSG00000103707;;ENSG00000105755;;ENSG00000110074;;ENSG00000110435;;ENSG00000110717;;ENSG00000112234;;ENSG00000115286;;ENSG00000121897;;ENSG00000122335;;ENSG00000123297;;ENSG00000125356;;ENSG00000125454;;ENSG00000127884;;ENSG00000130299;;ENSG00000130414;;ENSG00000131495;;ENSG00000131828;;ENSG00000135917;;ENSG00000136143;;ENSG00000136463;;ENSG00000137513;;ENSG00000138035;;ENSG00000138095;;ENSG00000139180;;ENSG00000140521;;ENSG00000144182;;ENSG00000145982;;ENSG00000148290;;ENSG00000150768;;ENSG00000156170;;ENSG00000156709;;ENSG00000158864;;ENSG00000163541;;ENSG00000164182;;ENSG00000164258;;ENSG00000164347;;ENSG00000164405;;ENSG00000164494;;ENSG00000167792;;ENSG00000168291;;ENSG00000168827;;ENSG00000169814;;ENSG00000174886;;ENSG00000178127;;ENSG00000184752;;ENSG00000189043;;ENSG00000196511;;ENSG00000198130;;ENSG00000198695;;ENSG00000198763;;ENSG00000198786;;ENSG00000198840;;ENSG00000198886;;ENSG00000198888;;ENSG00000198899;;ENSG00000198938;;ENSG00000205138;;ENSG00000209082;;ENSG00000210077;;ENSG00000210100;;ENSG00000210117;;ENSG00000210156;;ENSG00000213619;;ENSG00000229833;;ENSG00000284194|76
C0023434|ENSG00000023171;;ENSG00000079263;;ENSG00000112679;;ENSG00000112685;;ENSG00000131143;;ENSG00000135899;;ENSG00000137265;;ENSG00000140968;;ENSG00000153093;;ENSG00000153094;;ENSG00000185404|11
C0023467|ENSG00000096968;;ENSG00000119772;;ENSG00000122025;;ENSG00000139083;;ENSG00000157404;;ENSG00000159216;;ENSG00000164362;;ENSG00000179295;;ENSG00000179348;;ENSG00000245848|10
C0023520|ENSG00000013297;;ENSG00000013503;;ENSG00000054983;;ENSG00000068650;;ENSG00000070785;;ENSG00000078124;;ENSG00000090924;;ENSG00000100299;;ENSG00000103089;;ENSG00000104833;;ENSG00000106305;;ENSG00000106460;;ENSG00000107897;;ENSG00000108381;;ENSG00000111361;;ENSG00000113273;;ENSG00000113368;;ENSG00000113643;;ENSG00000115211;;ENSG00000119718;;ENSG00000120686;;ENSG00000123560;;ENSG00000130957;;ENSG00000131095;;ENSG00000136628;;ENSG00000143753;;ENSG00000143811;;ENSG00000144381;;ENSG00000144455;;ENSG00000145191;;ENSG00000148606;;ENSG00000148826;;ENSG00000149196;;ENSG00000152128;;ENSG00000157593;;ENSG00000160695;;ENSG00000161980;;ENSG00000164022;;ENSG00000171453;;ENSG00000173786;;ENSG00000187147;;ENSG00000196187;;ENSG00000197746;;ENSG00000198835|44
C0023892|ENSG00000031081;;ENSG00000038532;;ENSG00000073605;;ENSG00000081985;;ENSG00000100316;;ENSG00000100321;;ENSG00000106952;;ENSG00000109320;;ENSG00000109323;;ENSG00000110367;;ENSG00000110375;;ENSG00000113845;;ENSG00000115415;;ENSG00000121594;;ENSG00000138378;;ENSG00000141736;;ENSG00000141738;;ENSG00000141741;;ENSG00000142864;;ENSG00000144837;;ENSG00000144843;;ENSG00000145626;;ENSG00000152582;;ENSG00000152611;;ENSG00000160683;;ENSG00000161405;;ENSG00000162594;;ENSG00000163389;;ENSG00000168685;;ENSG00000168811;;ENSG00000176142;;ENSG00000181634;;ENSG00000186075;;ENSG00000186174;;ENSG00000196735;;ENSG00000232629;;ENSG00000237541|37
C0023903|ENSG00000007062;;ENSG00000037280;;ENSG00000063176;;ENSG00000066468;;ENSG00000068078;;ENSG00000069667;;ENSG00000077782;;ENSG00000079277;;ENSG00000081051;;ENSG00000087586;;ENSG00000099875;;ENSG00000101266;;ENSG00000102854;;ENSG00000103653;;ENSG00000105329;;ENSG00000105851;;ENSG00000105976;;ENSG00000106799;;ENSG00000106991;;ENSG00000107984;;ENSG00000112715;;ENSG00000113721;;ENSG00000113851;;ENSG00000116478;;ENSG00000119888;;ENSG00000120217;;ENSG00000120889;;ENSG00000128052;;ENSG00000128274;;ENSG00000131747;;ENSG00000131759;;ENSG00000138413;;ENSG00000140443;;ENSG00000141542;;ENSG00000143365;;ENSG00000146648;;ENSG00000147257;;ENSG00000149136;;ENSG00000157404;;ENSG00000160867;;ENSG00000163599;;ENSG00000164362;;ENSG00000164400;;ENSG00000168610;;ENSG00000170989;;ENSG00000172270;;ENSG00000183955;;ENSG00000185499;;ENSG00000196664;;ENSG00000197272;;ENSG00000205274;;ENSG00000207605;;ENSG00000282608|53
C0023976|ENSG00000053918;;ENSG00000055118;;ENSG00000101400;;ENSG00000120457;;ENSG00000123700;;ENSG00000127914;;ENSG00000143933;;ENSG00000145362;;ENSG00000151067;;ENSG00000159197;;ENSG00000160014;;ENSG00000177098;;ENSG00000180509;;ENSG00000182533;;ENSG00000183873;;ENSG00000198668;;ENSG00000282076|17
C0024117|ENSG00000001626;;ENSG00000005381;;ENSG00000007908;;ENSG00000010818;;ENSG00000012779;;ENSG00000041357;;ENSG00000065665;;ENSG00000065989;;ENSG00000067182;;ENSG00000067900;;ENSG00000075073;;ENSG00000080546;;ENSG00000080644;;ENSG00000089041;;ENSG00000091181;;ENSG00000096717;;ENSG00000099866;;ENSG00000100448;;ENSG00000106018;;ENSG00000108691;;ENSG00000110680;;ENSG00000110876;;ENSG00000112414;;ENSG00000113448;;ENSG00000113525;;ENSG00000113580;;ENSG00000114812;;ENSG00000115353;;ENSG00000115602;;ENSG00000117601;;ENSG00000117971;;ENSG00000118690;;ENSG00000120915;;ENSG00000121807;;ENSG00000128271;;ENSG00000132394;;ENSG00000132693;;ENSG00000133019;;ENSG00000134318;;ENSG00000135047;;ENSG00000135074;;ENSG00000136244;;ENSG00000136381;;ENSG00000136634;;ENSG00000137033;;ENSG00000138640;;ENSG00000138735;;ENSG00000138780;;ENSG00000138785;;ENSG00000139610;;ENSG00000143387;;ENSG00000143393;;ENSG00000144381;;ENSG00000145777;;ENSG00000145868;;ENSG00000147955;;ENSG00000150782;;ENSG00000151465;;ENSG00000151694;;ENSG00000153774;;ENSG00000153956;;ENSG00000156218;;ENSG00000160211;;ENSG00000160791;;ENSG00000163131;;ENSG00000163399;;ENSG00000163464;;ENSG00000163823;;ENSG00000164136;;ENSG00000164270;;ENSG00000164733;;ENSG00000165025;;ENSG00000165609;;ENSG00000166822;;ENSG00000168477;;ENSG00000168502;;ENSG00000168539;;ENSG00000168743;;ENSG00000168918;;ENSG00000169083;;ENSG00000169174;;ENSG00000169194;;ENSG00000169245;;ENSG00000169252;;ENSG00000169429;;ENSG00000169684;;ENSG00000169836;;ENSG00000170180;;ENSG00000172156;;ENSG00000172548;;ENSG00000174080;;ENSG00000175792;;ENSG00000179407;;ENSG00000180346;;ENSG00000180644;;ENSG00000180871;;ENSG00000183134;;ENSG00000184588;;ENSG00000184984;;ENSG00000187720;;ENSG00000188266;;ENSG00000188778;;ENSG00000189403;;ENSG00000197122;;ENSG00000197249;;ENSG00000197561;;ENSG00000204301;;ENSG00000204304;;ENSG00000204305;;ENSG00000204308;;ENSG00000204310;;ENSG00000204314;;ENSG00000204315;;ENSG00000206312;;ENSG00000213654;;ENSG00000213676;;ENSG00000221988;;ENSG00000223355;;ENSG00000232339;;ENSG00000232810;;ENSG00000234876;;ENSG00000235396;;ENSG00000238196;;ENSG00000241404;;ENSG00000262406;;ENSG00000275385;;ENSG00000277443;;ENSG00000278570|128
C0024141|ENSG00000062524;;ENSG00000072694;;ENSG00000079246;;ENSG00000116701;;ENSG00000117322;;ENSG00000117586;;ENSG00000118503;;ENSG00000128604;;ENSG00000132693;;ENSG00000134242;;ENSG00000137275;;ENSG00000138378;;ENSG00000153064;;ENSG00000163599;;ENSG00000163687;;ENSG00000169896;;ENSG00000172575;;ENSG00000187554;;ENSG00000188389;;ENSG00000196419;;ENSG00000196664;;ENSG00000213689;;ENSG00000213918;;ENSG00000224389;;ENSG00000244731|25
C0024530|ENSG00000007908;;ENSG00000010610;;ENSG00000072274;;ENSG00000090339;;ENSG00000106991;;ENSG00000111537;;ENSG00000113520;;ENSG00000132693;;ENSG00000134460;;ENSG00000135218;;ENSG00000136244;;ENSG00000136634;;ENSG00000136869;;ENSG00000138138;;ENSG00000154188;;ENSG00000163599;;ENSG00000163631;;ENSG00000174175;;ENSG00000178726;;ENSG00000196352;;ENSG00000203710;;ENSG00000228716;;ENSG00000232810;;ENSG00000239732;;ENSG00000257017|25
C0024620|ENSG00000007062;;ENSG00000037280;;ENSG00000063176;;ENSG00000066468;;ENSG00000068078;;ENSG00000069667;;ENSG00000077782;;ENSG00000079277;;ENSG00000081051;;ENSG00000087586;;ENSG00000099875;;ENSG00000101266;;ENSG00000102854;;ENSG00000103653;;ENSG00000105329;;ENSG00000105851;;ENSG00000105976;;ENSG00000106799;;ENSG00000106991;;ENSG00000107984;;ENSG00000112715;;ENSG00000113721;;ENSG00000113851;;ENSG00000116478;;ENSG00000119888;;ENSG00000120217;;ENSG00000120889;;ENSG00000128052;;ENSG00000128274;;ENSG00000131747;;ENSG00000131759;;ENSG00000138413;;ENSG00000140443;;ENSG00000141542;;ENSG00000143365;;ENSG00000146648;;ENSG00000147257;;ENSG00000149136;;ENSG00000157404;;ENSG00000160867;;ENSG00000163599;;ENSG00000164362;;ENSG00000164400;;ENSG00000168610;;ENSG00000170989;;ENSG00000172270;;ENSG00000183955;;ENSG00000185499;;ENSG00000196664;;ENSG00000197272;;ENSG00000205274;;ENSG00000207605;;ENSG00000282608|53
C0024623|ENSG00000037280;;ENSG00000039068;;ENSG00000066405;;ENSG00000066468;;ENSG00000077782;;ENSG00000080824;;ENSG00000082898;;ENSG00000089692;;ENSG00000090932;;ENSG00000096384;;ENSG00000100985;;ENSG00000102755;;ENSG00000102854;;ENSG00000105388;;ENSG00000105976;;ENSG00000106348;;ENSG00000112715;;ENSG00000113721;;ENSG00000119888;;ENSG00000120217;;ENSG00000128052;;ENSG00000131203;;ENSG00000131747;;ENSG00000132671;;ENSG00000134853;;ENSG00000138685;;ENSG00000139874;;ENSG00000141510;;ENSG00000141736;;ENSG00000142208;;ENSG00000146648;;ENSG00000147262;;ENSG00000162009;;ENSG00000167653;;ENSG00000169252;;ENSG00000169876;;ENSG00000171608;;ENSG00000171848;;ENSG00000176890;;ENSG00000178562;;ENSG00000180616;;ENSG00000182578;;ENSG00000184502;;ENSG00000185499;;ENSG00000185664;;ENSG00000196230;;ENSG00000196352;;ENSG00000196776;;ENSG00000198900;;ENSG00000278195|50
C0024624|ENSG00000008226;;ENSG00000047936;;ENSG00000068028;;ENSG00000079999;;ENSG00000105976;;ENSG00000107968;;ENSG00000110628;;ENSG00000118046;;ENSG00000121879;;ENSG00000125347;;ENSG00000127616;;ENSG00000133703;;ENSG00000137713;;ENSG00000139687;;ENSG00000141510;;ENSG00000141736;;ENSG00000143622;;ENSG00000146648;;ENSG00000147889;;ENSG00000157168;;ENSG00000157764;;ENSG00000162733;;ENSG00000165731;;ENSG00000169032;;ENSG00000171094;;ENSG00000171862;;ENSG00000185345;;ENSG00000196712;;ENSG00000213281;;ENSG00000284792|30
C0025007|ENSG00000007908;;ENSG00000010610;;ENSG00000104432;;ENSG00000105388;;ENSG00000111537;;ENSG00000113520;;ENSG00000117335;;ENSG00000120949;;ENSG00000121858;;ENSG00000136634;;ENSG00000150782;;ENSG00000169429;;ENSG00000171759;;ENSG00000185499;;ENSG00000232810|15
C0025202|ENSG00000049130;;ENSG00000064012;;ENSG00000077498;;ENSG00000078814;;ENSG00000099810;;ENSG00000101440;;ENSG00000101464;;ENSG00000104044;;ENSG00000107165;;ENSG00000126215;;ENSG00000128513;;ENSG00000128731;;ENSG00000135446;;ENSG00000137265;;ENSG00000138798;;ENSG00000141510;;ENSG00000147889;;ENSG00000149311;;ENSG00000157764;;ENSG00000162341;;ENSG00000163930;;ENSG00000164175;;ENSG00000164362;;ENSG00000174775;;ENSG00000181856;;ENSG00000183486;;ENSG00000184381;;ENSG00000185324;;ENSG00000187098;;ENSG00000213281;;ENSG00000258839;;ENSG00000276536|32
C0025517|ENSG00000010404;;ENSG00000021826;;ENSG00000036473;;ENSG00000049860;;ENSG00000066926;;ENSG00000100299;;ENSG00000102393;;ENSG00000104774;;ENSG00000108381;;ENSG00000108784;;ENSG00000109917;;ENSG00000110243;;ENSG00000110244;;ENSG00000110245;;ENSG00000113273;;ENSG00000116478;;ENSG00000118137;;ENSG00000118520;;ENSG00000120137;;ENSG00000127415;;ENSG00000128973;;ENSG00000131238;;ENSG00000132170;;ENSG00000137656;;ENSG00000140400;;ENSG00000141012;;ENSG00000143627;;ENSG00000146085;;ENSG00000148154;;ENSG00000151090;;ENSG00000158104;;ENSG00000160200;;ENSG00000160584;;ENSG00000163631;;ENSG00000166311;;ENSG00000166340;;ENSG00000169919;;ENSG00000170266;;ENSG00000170890;;ENSG00000171105;;ENSG00000171759;;ENSG00000177628;;ENSG00000181019;;ENSG00000181523;;ENSG00000188603;;ENSG00000198848;;ENSG00000198947;;ENSG00000213614|48
C0025958|ENSG00000010292;;ENSG00000039650;;ENSG00000066279;;ENSG00000075188;;ENSG00000075702;;ENSG00000103995;;ENSG00000105810;;ENSG00000111752;;ENSG00000113368;;ENSG00000113555;;ENSG00000118193;;ENSG00000121152;;ENSG00000122966;;ENSG00000123473;;ENSG00000136861;;ENSG00000137812;;ENSG00000137822;;ENSG00000138778;;ENSG00000143363;;ENSG00000147316;;ENSG00000151503;;ENSG00000151849;;ENSG00000156876;;ENSG00000163625;;ENSG00000168389;;ENSG00000169679;;ENSG00000170248;;ENSG00000172053;;ENSG00000174177;;ENSG00000174799;;ENSG00000176619;;ENSG00000176915;;ENSG00000184432;;ENSG00000189306;;ENSG00000196628;;ENSG00000198026|36
C0026010|ENSG00000004961;;ENSG00000007372;;ENSG00000029993;;ENSG00000077092;;ENSG00000095319;;ENSG00000101596;;ENSG00000102030;;ENSG00000103326;;ENSG00000112335;;ENSG00000115657;;ENSG00000119614;;ENSG00000125378;;ENSG00000134438;;ENSG00000137868;;ENSG00000138207;;ENSG00000148704;;ENSG00000156466;;ENSG00000164690;;ENSG00000165588;;ENSG00000181449;;ENSG00000181541;;ENSG00000183337;;ENSG00000184254;;ENSG00000184302;;ENSG00000184344;;ENSG00000187098;;ENSG00000198732;;ENSG00000215612;;ENSG00000218336;;ENSG00000235718;;ENSG00000237412|31
C0026272|ENSG00000072694;;ENSG00000101017;;ENSG00000102245;;ENSG00000104432;;ENSG00000104870;;ENSG00000133019;;ENSG00000159958;;ENSG00000160223;;ENSG00000163131;;ENSG00000171608;;ENSG00000173585;;ENSG00000177455;;ENSG00000186265|13
